Geolocation,Year,11.b.2 Proportion of LGU with DRR
MIMAROPA: Southwestern Tagalog Region,2009,
Region 5: Bicol Region,2009,
Region 6: Western Visayas,2009,
Region 7: Central Visayas,2009,
Region 8: Eastern Visayas,2009,
Region 9: Zamboanga Peninsula,2009,
Region 10: Northern Mindanao,2009,
Region 11: Davao Region,2009,
Region 12: SOCCSKSARGEN,2009,
CARAGA: CARAGA Administrative Region,2009,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,
PHILIPPINES,2010,
NCR: National Capital Region,2010,
CAR: Cordillera Administrative Region,2010,
Region 1: Ilocos Region,2010,
Region 2: Cagayan Valley,2010,
Region 3: Central Luzon,2010,
Region 4A: CALABARZON,2010,
MIMAROPA: Southwestern Tagalog Region,2010,
Region 5: Bicol Region,2010,
Region 6: Western Visayas,2010,
Region 7: Central Visayas,2010,
Region 8: Eastern Visayas,2010,
Region 9: Zamboanga Peninsula,2010,
Region 10: Northern Mindanao,2010,
Region 11: Davao Region,2010,
Region 12: SOCCSKSARGEN,2010,
CARAGA: CARAGA Administrative Region,2010,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,
PHILIPPINES,2011,
NCR: National Capital Region,2011,
CAR: Cordillera Administrative Region,2011,
Region 1: Ilocos Region,2011,
Region 2: Cagayan Valley,2011,
Region 3: Central Luzon,2011,
Region 4A: CALABARZON,2011,
MIMAROPA: Southwestern Tagalog Region,2011,
Region 5: Bicol Region,2011,
Region 6: Western Visayas,2011,
Region 7: Central Visayas,2011,
Region 8: Eastern Visayas,2011,
Region 9: Zamboanga Peninsula,2011,
Region 10: Northern Mindanao,2011,
Region 11: Davao Region,2011,
Region 12: SOCCSKSARGEN,2011,
CARAGA: CARAGA Administrative Region,2011,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2011,
PHILIPPINES,2012,
NCR: National Capital Region,2012,
CAR: Cordillera Administrative Region,2012,
Region 1: Ilocos Region,2012,
Region 2: Cagayan Valley,2012,
Region 3: Central Luzon,2012,
Region 4A: CALABARZON,2012,
MIMAROPA: Southwestern Tagalog Region,2012,
Region 5: Bicol Region,2012,
Region 6: Western Visayas,2012,
Region 7: Central Visayas,2012,
Region 8: Eastern Visayas,2012,
Region 9: Zamboanga Peninsula,2012,
Region 10: Northern Mindanao,2012,
Region 11: Davao Region,2012,
Region 12: SOCCSKSARGEN,2012,
CARAGA: CARAGA Administrative Region,2012,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,
PHILIPPINES,2013,
NCR: National Capital Region,2013,
CAR: Cordillera Administrative Region,2013,
Region 1: Ilocos Region,2013,
Region 2: Cagayan Valley,2013,
Region 3: Central Luzon,2013,
Region 4A: CALABARZON,2013,
MIMAROPA: Southwestern Tagalog Region,2013,
Region 5: Bicol Region,2013,
Region 6: Western Visayas,2013,
Region 7: Central Visayas,2013,
Region 8: Eastern Visayas,2013,
Region 9: Zamboanga Peninsula,2013,
Region 10: Northern Mindanao,2013,
Region 11: Davao Region,2013,
Region 12: SOCCSKSARGEN,2013,
CARAGA: CARAGA Administrative Region,2013,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,
PHILIPPINES,2014,
NCR: National Capital Region,2014,
CAR: Cordillera Administrative Region,2014,
Region 1: Ilocos Region,2014,
Region 2: Cagayan Valley,2014,
Region 3: Central Luzon,2014,
Region 4A: CALABARZON,2014,
MIMAROPA: Southwestern Tagalog Region,2014,
Region 5: Bicol Region,2014,
Region 6: Western Visayas,2014,
Region 7: Central Visayas,2014,
Region 8: Eastern Visayas,2014,
Region 9: Zamboanga Peninsula,2014,
Region 10: Northern Mindanao,2014,
Region 11: Davao Region,2014,
Region 12: SOCCSKSARGEN,2014,
CARAGA: CARAGA Administrative Region,2014,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2014,
PHILIPPINES,2015,
NCR: National Capital Region,2015,
CAR: Cordillera Administrative Region,2015,
Region 1: Ilocos Region,2015,
Region 2: Cagayan Valley,2015,
Region 3: Central Luzon,2015,
Region 4A: CALABARZON,2015,
MIMAROPA: Southwestern Tagalog Region,2015,
Region 5: Bicol Region,2015,
Region 6: Western Visayas,2015,
Region 7: Central Visayas,2015,
Region 8: Eastern Visayas,2015,
Region 9: Zamboanga Peninsula,2015,
Region 10: Northern Mindanao,2015,
Region 11: Davao Region,2015,
Region 12: SOCCSKSARGEN,2015,
CARAGA: CARAGA Administrative Region,2015,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,
PHILIPPINES,2016,
NCR: National Capital Region,2016,52.9
CAR: Cordillera Administrative Region,2016,94.0
Region 1: Ilocos Region,2016,44.8
Region 2: Cagayan Valley,2016,100.0
Region 3: Central Luzon,2016,59.0
Region 4A: CALABARZON,2016,99.8
MIMAROPA: Southwestern Tagalog Region,2016,82.0
Region 5: Bicol Region,2016,91.0
Region 6: Western Visayas,2016,25.1
Region 7: Central Visayas,2016,100.0
Region 8: Eastern Visayas,2016,100.0
Region 9: Zamboanga Peninsula,2016,100.0
Region 10: Northern Mindanao,2016,100.0
Region 11: Davao Region,2016,100.0
Region 12: SOCCSKSARGEN,2016,100.0
CARAGA: CARAGA Administrative Region,2016,74.4
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,12.5
PHILIPPINES,2017,
NCR: National Capital Region,2017,
CAR: Cordillera Administrative Region,2017,
Region 1: Ilocos Region,2017,
Region 2: Cagayan Valley,2017,
Region 3: Central Luzon,2017,
Region 4A: CALABARZON,2017,
MIMAROPA: Southwestern Tagalog Region,2017,
Region 5: Bicol Region,2017,
Region 6: Western Visayas,2017,
Region 7: Central Visayas,2017,
Region 8: Eastern Visayas,2017,
Region 9: Zamboanga Peninsula,2017,
Region 10: Northern Mindanao,2017,
Region 11: Davao Region,2017,
Region 12: SOCCSKSARGEN,2017,
CARAGA: CARAGA Administrative Region,2017,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,
PHILIPPINES,2018,
NCR: National Capital Region,2018,76.5
CAR: Cordillera Administrative Region,2018,97.5
Region 1: Ilocos Region,2018,100.0
Region 2: Cagayan Valley,2018,100.0
Region 3: Central Luzon,2018,99.3
Region 4A: CALABARZON,2018,100.0
MIMAROPA: Southwestern Tagalog Region,2018,100.0
Region 5: Bicol Region,2018,93.3
Region 6: Western Visayas,2018,20.2
Region 7: Central Visayas,2018,87.5
Region 8: Eastern Visayas,2018,59.5
Region 9: Zamboanga Peninsula,2018,45.3
Region 10: Northern Mindanao,2018,85.7
Region 11: Davao Region,2018,100.0
Region 12: SOCCSKSARGEN,2018,100.0
CARAGA: CARAGA Administrative Region,2018,76.9
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,53.7
PHILIPPINES,2019,
NCR: National Capital Region,2019,
CAR: Cordillera Administrative Region,2019,
Region 1: Ilocos Region,2019,
Region 2: Cagayan Valley,2019,
Region 3: Central Luzon,2019,
Region 4A: CALABARZON,2019,
MIMAROPA: Southwestern Tagalog Region,2019,
Region 5: Bicol Region,2019,
Region 6: Western Visayas,2019,
Region 7: Central Visayas,2019,
Region 8: Eastern Visayas,2019,
Region 9: Zamboanga Peninsula,2019,
Region 10: Northern Mindanao,2019,
Region 11: Davao Region,2019,
Region 12: SOCCSKSARGEN,2019,
CARAGA: CARAGA Administrative Region,2019,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,
PHILIPPINES,2020,
NCR: National Capital Region,2020,82.4
CAR: Cordillera Administrative Region,2020,79.5
Region 1: Ilocos Region,2020,74.4
Region 2: Cagayan Valley,2020,49.0
Region 3: Central Luzon,2020,100.0
Region 4A: CALABARZON,2020,100.0
MIMAROPA: Southwestern Tagalog Region,2020,100.0
Region 5: Bicol Region,2020,57.5
Region 6: Western Visayas,2020,99.3
Region 7: Central Visayas,2020,94.1
Region 8: Eastern Visayas,2020,81.9
Region 9: Zamboanga Peninsula,2020,94.6
Region 10: Northern Mindanao,2020,86.7
Region 11: Davao Region,2020,88.9
Region 12: SOCCSKSARGEN,2020,100.0
CARAGA: CARAGA Administrative Region,2020,100.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,60.9
PHILIPPINES,2021,
NCR: National Capital Region,2021,100.0
CAR: Cordillera Administrative Region,2021,61.5
Region 1: Ilocos Region,2021,76.7
Region 2: Cagayan Valley,2021,55.1
Region 3: Central Luzon,2021,100.0
Region 4A: CALABARZON,2021,74.8
MIMAROPA: Southwestern Tagalog Region,2021,100.0
Region 5: Bicol Region,2021,56.7
Region 6: Western Visayas,2021,100.0
Region 7: Central Visayas,2021,100.0
Region 8: Eastern Visayas,2021,83.9
Region 9: Zamboanga Peninsula,2021,96.0
Region 10: Northern Mindanao,2021,96.9
Region 11: Davao Region,2021,100.0
Region 12: SOCCSKSARGEN,2021,100.0
CARAGA: CARAGA Administrative Region,2021,93.6
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2021,13.0
